fencer,action_id,start_frame,end_frame,expected,actual,coverage
RIGHT,337,25,45,21,18,85.71428571428571
RIGHT,338,53,56,4,4,100.0
RIGHT,339,81,84,4,4,100.0
RIGHT,340,95,98,4,4,100.0
RIGHT,341,114,117,4,4,100.0
RIGHT,342,121,126,6,6,100.0
RIGHT,343,141,145,5,5,100.0
RIGHT,344,146,152,7,7,100.0
LEFT,359,17,23,7,6,85.71428571428571
RIGHT,360,20,24,5,5,100.0
LEFT,375,14,20,7,7,100.0
RIGHT,376,21,25,5,5,100.0
LEFT,380,29,35,7,7,100.0
RIGHT,381,34,38,5,5,100.0
LEFT,383,28,33,6,6,100.0
RIGHT,384,24,30,7,7,100.0
LEFT,361,87,94,8,8,100.0
RIGHT,362,14,17,4,4,100.0
RIGHT,363,62,81,20,20,100.0
RIGHT,364,91,95,5,5,100.0
LEFT,318,21,28,8,8,100.0
LEFT,353,22,26,5,5,100.0
RIGHT,354,18,24,7,7,100.0
RIGHT,319,14,21,8,6,75.0
LEFT,377,23,29,7,7,100.0
RIGHT,378,23,26,4,4,100.0
RIGHT,379,30,34,5,5,100.0
LEFT,329,18,24,7,7,100.0
RIGHT,330,21,24,4,4,100.0
RIGHT,331,25,29,5,5,100.0
LEFT,345,30,33,4,4,100.0
RIGHT,346,40,48,9,9,100.0
LEFT,326,9,14,6,6,100.0
LEFT,327,44,51,8,8,100.0
RIGHT,328,9,36,28,28,100.0
LEFT,347,19,25,7,7,100.0
LEFT,348,70,82,13,13,100.0
LEFT,349,131,136,6,6,100.0
RIGHT,350,22,37,16,16,100.0
RIGHT,351,61,70,10,10,100.0
RIGHT,352,92,138,47,47,100.0
LEFT,108,22,26,5,5,100.0
LEFT,109,27,31,5,5,100.0
RIGHT,110,19,26,8,8,100.0
LEFT,137,24,29,6,6,100.0
RIGHT,138,21,26,6,6,100.0
LEFT,124,23,31,9,9,100.0
RIGHT,125,23,33,11,10,90.9090909090909
LEFT,72,21,34,14,14,100.0
LEFT,73,51,54,4,4,100.0
RIGHT,74,17,24,8,7,87.5
RIGHT,75,51,54,4,4,100.0
LEFT,133,16,22,7,7,100.0
RIGHT,134,16,22,7,7,100.0
LEFT,78,64,76,13,13,100.0
LEFT,79,83,86,4,4,100.0
LEFT,80,100,103,4,4,100.0
LEFT,81,104,107,4,4,100.0
LEFT,82,108,112,5,5,100.0
RIGHT,83,105,112,8,7,87.5
LEFT,111,16,21,6,6,100.0
RIGHT,112,14,21,8,7,87.5
LEFT,126,42,47,6,6,100.0
RIGHT,127,28,31,4,4,100.0
RIGHT,128,44,48,5,5,100.0
LEFT,76,19,26,8,8,100.0
RIGHT,77,19,25,7,7,100.0
LEFT,132,17,24,8,7,87.5
LEFT,122,32,35,4,4,100.0
RIGHT,123,27,34,8,7,87.5
LEFT,120,20,26,7,7,100.0
RIGHT,121,17,27,11,7,63.63636363636363
LEFT,104,25,28,4,4,100.0
LEFT,105,36,40,5,5,100.0
LEFT,106,45,48,4,4,100.0
LEFT,107,62,66,5,4,80.0
LEFT,113,17,24,8,8,100.0
LEFT,114,50,53,4,4,100.0
LEFT,115,64,81,18,18,100.0
LEFT,116,85,88,4,4,100.0
LEFT,117,109,115,7,7,100.0
RIGHT,118,81,85,5,5,100.0
RIGHT,119,114,119,6,6,100.0
LEFT,84,15,21,7,7,100.0
RIGHT,85,16,21,6,5,83.33333333333334
LEFT,100,19,33,15,15,100.0
LEFT,101,45,50,6,6,100.0
RIGHT,102,15,21,7,7,100.0
RIGHT,103,45,50,6,6,100.0
LEFT,129,8,12,5,5,100.0
LEFT,130,13,16,4,4,100.0
RIGHT,131,6,15,10,9,90.0
LEFT,90,106,109,4,4,100.0
LEFT,91,155,161,7,7,100.0
RIGHT,92,37,41,5,5,100.0
RIGHT,93,64,114,51,49,96.07843137254902
RIGHT,94,115,130,16,16,100.0
RIGHT,95,131,136,6,6,100.0
RIGHT,96,154,158,5,5,100.0
LEFT,86,15,22,8,8,100.0
RIGHT,87,16,21,6,5,83.33333333333334
LEFT,97,32,36,5,5,100.0
LEFT,98,37,47,11,11,100.0
RIGHT,99,36,44,9,9,100.0
LEFT,135,23,27,5,5,100.0
RIGHT,136,18,27,10,9,90.0
LEFT,88,15,20,6,6,100.0
RIGHT,89,14,20,7,5,71.42857142857143
LEFT,289,15,20,6,6,100.0
RIGHT,290,19,23,5,5,100.0
LEFT,227,18,40,23,23,100.0
LEFT,228,114,120,7,6,85.71428571428571
LEFT,229,158,162,5,5,100.0
LEFT,230,177,186,10,10,100.0
LEFT,231,198,201,4,4,100.0
LEFT,232,208,211,4,4,100.0
LEFT,233,212,236,25,25,100.0
LEFT,234,241,245,5,5,100.0
RIGHT,235,13,22,10,10,100.0
RIGHT,236,39,71,33,33,100.0
RIGHT,237,72,79,8,8,100.0
RIGHT,238,106,133,28,28,100.0
RIGHT,239,247,256,10,10,100.0
LEFT,302,17,40,24,24,100.0
LEFT,303,57,62,6,6,100.0
RIGHT,304,13,21,9,9,100.0
RIGHT,305,50,72,23,23,100.0
